genus name,family number,genus number
modioia moench,106,10
moehringia l.,57,2
moenchia ehrh.,57,10
molineria pari.noncolla,193,77
molineriella rouy,193,77
molinia schrank,193,113
molopospermum koch,129,16
moltkia lehm.,148,11
moluccella l.,151,14
moneses salisb.,131,3
monochoria c. presi,187,4
monotropa l.,131,5
monda l.,55,2
morisia gay,68,105
morus l.,38,2
mucizonia dc.,,
muehlenbeckia meissner,47,10
murbeckiella rothm.,68,3
muretia boiss.,129,24
musa l.,200,1
muscari miller,183,36
myagrum l.,68,13
mycelis cass.,169,172
myoporum solander ex g. forster,162,1
myosoton moench,57,11
myosurus l.,61,21
myrica l.,32,1
myricaria desv.,113,3
myriophyllum l.,124,2
myrrhis miller,129,15
narcissus l.,185,6
nardosmia cass.,169,90
narduroides rouy,193,11
nardurus reichenb.,193,6
narthecium hudson,183,2
nasturtium r. br.,68,40
naufraga constance  cannon,129,3
neatostema i. m. johnston,148,5
nectaroscordum lindley,183,39
nelumbo adanson,59,1
nemophila nutt.,147,1
neottia ludwig,203,6
neottianthe schlechter,203,12
nerium l.,142,1
neslia desv.,68,67
nicandra adanson,152,1
nicotiana l.,152,16
nigella l.,61,4
nigritella l. c. m. richard,203,17
nitraria l.,85,5
noaea moq.,48,26
nonea medicus,148,16
nothoscordum kunth,183,40
notobasis cass.,169,120
notoceras r. br.,68,30
nuphar sm.,58,2
nymphaea l.,58,1
odontitella rothm.,154,30
odontites ludwig,154,30
oenothera l.,123,3
ofaiston rafin.,48,27
omalotheca cass.,169,20
omphalodes miller,148,33
onobrychis miller,81,71
onoclea l.,18,6
ononis l.,81,53
onopordum l.,169,123
ophioglossum l.,5,1
ophrys l.,203,30
oplismenus beauv.,193,133
opoponax koch,129,89
opuntia miller,118,1
oreochloa link,193,37
oreoherzogia w. vent,103,3
orlaya hoffm.,129,107
ornithogalum l.,183,25
ornithopus l.,81,64
orobanche l.,160,2
osmunda l.,6,1
ostericum hoffm.,129,80
ostrya scop.,35,2
osyris l.,42,2
otanthus hoffmanns.  link,169,65
otospermum willk.,169,73
oxyria hill,47,6
paeonia l.,62,1
palaeocyanus dostal,169,128
palimbia besser,129,82
paliurus miller,103,1
pancicia vis.,129,25
pancratium l.,185,7
papaver l.,66,1
paradisea mazzuc.,183,8
parapholis c. e. hubbard,193,97
parentucellia viv.,154,32
parietaria l.,40,3
paris l.,183,47
parnassia l.,74,1
paronychia miller,57,15
parthenocissus planchon,104,2
parvotrisetum chrtek,193,72
pastinaca l.,129,91
pastorea tod.,68,72
patrinia juss.,166,1
pedicularis l.,154,34
peganum l.,85,1
pellaea link,7,2
peltaria jacq.,68,47
pendulina willk.,68,87
pennisetum l. c. m. richard,193,141
pentaglottis tausch,148,22
periballia trim,193,79
periploca l.,143,1
persea miller,65,2
petagnia guss.,129,9
petasites miller,169,90
