Genus Name,Family,Genus
Phragmites Adanson,193,109
Phyllodoce Salisb.,132,10
Physanthyllis Boiss.,81,63
Physocaulis DC.,,
Physoplexis Endl.,,
Physospermum Cusson,129,46
Phyteuma L.,168,9
Phytolacca L.,51,1
Picea A. Dietr.,26,4
Picnomon Adanson,169,119
Picridium Desf.,169,163
Pieris L.,169,160
Pilea Lindley,40,2
Pilosella Hill,169,181
Pilularia L.,23,2
Pimpinella L.,129,25
Pinus L.,26,7
Piptatherum Beauv.,193,104
Pistacia L.,94,3
Pisum L.,81,52
Pittosporum Gaertner,78,1
Plantago L.,163,1
Platanthera L. C. M. Richard,203,13
Platanus L.,79,1
Pleuropogon R. Br.,193,43
Pleurospermum Hoffm.,129,49
Plumbago L.,136,1
Polemonium L.,145,1
Polycnemum L.,48,1
Polygonatum Miller,183,46
Polygonum L.,47,2
Polypodium L.,22,1
Polypogon Desf.,193,89
Polystichum Roth,19,1
Pontederia L.,187,1
Populus L.,31,2
Portenschlagiella Tutin,129,36
Portulaca L.,55,1
Potamogeton L.,177,1
Potentina L.,80,19
Prangos Lindley,129,52
Prenanthes L.,169,171
Primula L.,135,1
Proboscidea Schmidel,158,1
Prolongoa Boiss.,169,75
Prunella L.,151,21
Prunus L.,80,35
Psathyrostachys Nevski,193,56
Pseudarrhenatherum Rouy,193,65
Pseudostellaria Pax,57,7
Psilurus Trin.,193,33
Ptelea L.,88,6
Pterocarya Kunth,33,3
Pterocephalus Adanson,167,7
Ptilostemon Cass.,169,121
Ptilotrichum C. A. Meyer,68,54
Ptychotis Koch,129,67
Puccinellia Pari.,193,21
Pulicaria Gaertner,169,33
Pulsatilla Miller,61,16
Punica L.,122,1
Putoria Pers.,144,1
Pycnocomon Hoffmanns.  Link,167,10
Pyracantha M. J. Roemer,80,32
Pyrola L.,131,1
Quercus L.,36,3
Radiola Hill,86,2
Ramischia Opiz ex Garcke,131,2
Ramonda L. C. M. Richard,159,2
Ranunculus L.,61,19
Rapistrum Crantz,68,101
Reichardia Roth,169,163
Reseda L.,69,1
Reutera Boiss.,81,20
Revtera Boiss.,129,25
Reynoutria Houtt.,47,4
Rhagadiolus Zinn,169,155
Rhamnus L.,103,3
Rhazya Decne,142,3
Rheum L.,47,7
Rhinanthus L.,154,35
Rhizobotrya Tausch,68,65
Rhododendron L.,132,5
Rhodothamnus Reichenb.,132,7
Rhynchoeorys Griseb.,154,36
Rhynchosinapis Hayek,68,92
Rhynchospora Vahl,199,9
Ribes L.,77,1
Ricinus L.,87,6
